,train,val,test
BRACS_745,True,False,False
BRACS_1240,True,False,False
BRACS_1242,True,False,False
BRACS_1249,True,False,False
BRACS_1253,True,False,False
BRACS_1255,True,False,False
BRACS_1259,True,False,False
BRACS_1273,True,False,False
BRACS_1274,True,False,False
BRACS_1318,True,False,False
BRACS_1320,True,False,False
BRACS_1321,True,False,False
BRACS_1322,True,False,False
BRACS_1325,True,False,False
BRACS_1327,True,False,False
BRACS_1338,True,False,False
BRACS_1370,True,False,False
BRACS_1408,True,False,False
BRACS_1480,True,False,False
BRACS_1483,True,False,False
BRACS_1485,True,False,False
BRACS_1493,True,False,False
BRACS_1511,True,False,False
BRACS_1582,True,False,False
BRACS_1583,True,False,False
BRACS_1603,True,False,False
BRACS_1605,True,False,False
BRACS_1612,True,False,False
BRACS_1620,True,False,False
BRACS_1631,True,False,False
BRACS_1640,True,False,False
BRACS_1655,True,False,False
BRACS_1656,True,False,False
BRACS_1659,True,False,False
BRACS_1660,True,False,False
BRACS_1664,True,False,False
BRACS_1665,True,False,False
BRACS_1666,True,False,False
BRACS_1668,True,False,False
BRACS_1669,True,False,False
BRACS_1772,True,False,False
BRACS_1779,True,False,False
BRACS_1784,True,False,False
BRACS_1796,True,False,False
BRACS_1832,True,False,False
BRACS_1833,True,False,False
BRACS_1839,True,False,False
BRACS_1841,True,False,False
BRACS_1869,True,False,False
BRACS_1880,True,False,False
BRACS_1890,True,False,False
BRACS_1893,True,False,False
BRACS_1900,True,False,False
BRACS_1901,True,False,False
BRACS_1902,True,False,False
BRACS_1904,True,False,False
BRACS_1905,True,False,False
BRACS_1924,True,False,False
BRACS_1948,True,False,False
BRACS_1960,True,False,False
BRACS_1961,True,False,False
BRACS_1962,True,False,False
BRACS_1964,True,False,False
BRACS_1965,True,False,False
BRACS_1966,True,False,False
BRACS_1967,True,False,False
BRACS_1972,True,False,False
BRACS_1989,True,False,False
BRACS_1994,True,False,False
BRACS_2000,True,False,False
BRACS_2004,True,False,False
BRACS_3268,True,False,False
BRACS_3269,True,False,False
BRACS_3270,True,False,False
BRACS_3271,True,False,False
BRACS_3272,True,False,False
BRACS_3274,True,False,False
