,train,val,test
0,BRACS_745,BRACS_1321,BRACS_1325
1,BRACS_760,BRACS_1318,BRACS_1669
2,BRACS_761,BRACS_1240,BRACS_1846
3,BRACS_1241,BRACS_2004,BRACS_3309
4,BRACS_1242,BRACS_1329,BRACS_1772
5,BRACS_1248,BRACS_1940,BRACS_3334
6,BRACS_1249,BRACS_3337,BRACS_758
7,BRACS_1251,BRACS_1656,BRACS_3298
8,BRACS_1253,BRACS_264,BRACS_3276
9,BRACS_1255,BRACS_1605,BRACS_1870
10,BRACS_1259,BRACS_1942,BRACS_1338
11,BRACS_1273,BRACS_1880,BRACS_1582
12,BRACS_1274,BRACS_1659,BRACS_1330
13,BRACS_1320,BRACS_1608,BRACS_1412
14,BRACS_1322,BRACS_1648,BRACS_283
15,BRACS_1324,BRACS_740,BRACS_291
16,BRACS_1327,BRACS_1003677,BRACS_3291
17,BRACS_1336,BRACS_3290,BRACS_752
18,BRACS_1370,BRACS_3289,BRACS_1826
19,BRACS_1408,BRACS_1279,BRACS_295
20,BRACS_1480,BRACS_1407,BRACS_1003698
21,BRACS_1483,BRACS_1647,BRACS_1638
22,BRACS_1485,BRACS_1831,BRACS_748
23,BRACS_1493,BRACS_3314,BRACS_281
24,BRACS_1508,BRACS_1484,BRACS_1374
25,BRACS_1511,BRACS_1003692,BRACS_1003699
26,BRACS_1583,BRACS_1590,BRACS_3294
27,BRACS_1603,BRACS_1903,BRACS_1929
28,BRACS_1612,BRACS_755,BRACS_1238
29,BRACS_1620,BRACS_1947,BRACS_1923
30,BRACS_1631,BRACS_1919,BRACS_736
31,BRACS_1633,BRACS_1491,BRACS_1883
32,BRACS_1634,BRACS_762,BRACS_1897
33,BRACS_1640,BRACS_1978,BRACS_1645
34,BRACS_1655,BRACS_1641,BRACS_1820
35,BRACS_1660,BRACS_1003715,BRACS_1579
36,BRACS_1661,BRACS_3322,BRACS_1601
37,BRACS_1664,BRACS_1003691,BRACS_1589
38,BRACS_1665,BRACS_1987,BRACS_1912
39,BRACS_1666,BRACS_1925,BRACS_1861
40,BRACS_1668,BRACS_1795,BRACS_1003728
