,train,val,test
0,normal_003,normal_018,normal_133
1,test_003,test_018,normal_083
2,normal_005,normal_127,test_083
3,test_005,test_128,normal_110
4,normal_006,normal_107,test_109
5,test_006,test_106,normal_123
6,normal_007,normal_056,test_123
7,test_007,test_056,normal_049
8,normal_009,normal_112,normal_099
9,test_009,test_111,test_098
10,normal_012,normal_058,normal_130
11,test_012,test_058,normal_102
12,normal_015,normal_042,test_101
13,test_015,test_042,normal_067
14,normal_017,normal_039,test_067
15,test_017,test_039,normal_024
16,normal_019,normal_143,test_024
17,test_019,normal_096,normal_141
18,normal_020,test_095,tumor_069
19,test_020,normal_014,tumor_045
20,normal_022,test_014,tumor_094
21,test_022,tumor_100,tumor_104
22,normal_023,normal_093,tumor_060
23,test_023,test_092,tumor_042
24,normal_025,tumor_062,tumor_055
25,test_025,tumor_034,tumor_066
26,normal_028,normal_013,tumor_035
27,test_028,test_013,normal_065
28,normal_031,tumor_040,test_065
29,test_031,tumor_097,tumor_101
30,normal_032,tumor_064,normal_051
31,test_032,normal_008,test_051
32,normal_034,test_008,tumor_107
33,test_034,tumor_076,tumor_005
34,normal_035,tumor_057,normal_116
35,test_035,tumor_059,test_116
36,normal_036,tumor_075,normal_004
37,test_036,tumor_027,test_004
38,normal_037,tumor_110,
39,test_037,tumor_093,
40,normal_041,,
41,test_041,,
42,normal_043,,
43,test_043,,
44,normal_044,,
45,test_044,,
46,normal_045,,
47,test_045,,
48,normal_047,,
49,test_047,,
50,normal_050,,
51,test_050,,
52,normal_053,,
53,test_053,,
54,normal_054,,
55,test_054,,
56,normal_055,,
57,test_055,,
58,normal_057,,
59,test_057,,
60,normal_059,,
61,test_059,,
62,normal_060,,
63,test_060,,
64,normal_062,,
65,test_062,,
66,normal_063,,
67,test_063,,
68,normal_070,,
69,test_070,,
70,normal_072,,
71,test_072,,
72,normal_076,,
73,test_076,,
74,normal_077,,
75,test_077,,
76,normal_078,,
77,test_078,,
78,normal_080,,
79,test_080,,
80,normal_081,,
81,test_081,,
82,normal_085,,
83,test_085,,
84,normal_087,,
85,test_086,,
86,normal_088,,
87,test_087,,
88,normal_089,,
89,test_088,,
90,normal_090,,
91,test_089,,
92,normal_092,,
93,test_091,,
94,normal_094,,
95,test_093,,
96,normal_097,,
97,test_096,,
98,normal_101,,
99,test_100,,
100,normal_104,,
101,test_103,,
102,normal_108,,
103,test_107,,
104,normal_113,,
105,test_112,,
106,normal_115,,
107,test_115,,
108,normal_118,,
109,test_118,,
110,normal_119,,
111,test_119,,
112,normal_120,,
113,test_120,,
114,normal_124,,
115,test_125,,
116,normal_125,,
117,test_126,,
118,normal_126,,
119,test_127,,
120,normal_128,,
121,test_129,,
122,normal_129,,
123,test_130,,
124,normal_131,,
125,normal_132,,
126,normal_134,,
127,normal_135,,
128,normal_136,,
129,normal_137,,
130,normal_138,,
131,normal_139,,
132,normal_140,,
133,normal_142,,
134,normal_144,,
135,normal_145,,
136,normal_146,,
137,normal_147,,
138,normal_148,,
139,normal_149,,
140,normal_150,,
141,normal_151,,
142,normal_152,,
143,normal_153,,
144,normal_154,,
145,normal_155,,
146,normal_156,,
147,normal_157,,
148,normal_158,,
149,normal_159,,
150,normal_160,,
151,normal_001,,
152,test_001,,
153,normal_002,,
154,test_002,,
155,normal_010,,
156,test_010,,
157,normal_011,,
158,test_011,,
159,normal_016,,
160,test_016,,
161,normal_021,,
162,test_021,,
163,normal_026,,
164,test_026,,
165,normal_027,,
166,test_027,,
167,normal_029,,
168,test_029,,
169,normal_030,,
170,test_030,,
171,normal_033,,
172,test_033,,
173,normal_038,,
174,test_038,,
175,normal_040,,
176,test_040,,
177,normal_046,,
178,test_046,,
179,normal_048,,
180,test_048,,
181,normal_052,,
182,test_052,,
183,normal_061,,
184,test_061,,
185,normal_064,,
186,test_064,,
187,normal_066,,
188,test_066,,
189,normal_068,,
190,test_068,,
191,normal_069,,
192,test_069,,
193,normal_071,,
194,test_071,,
195,normal_073,,
196,test_073,,
197,normal_074,,
198,test_074,,
199,normal_075,,
200,test_075,,
201,normal_079,,
202,test_079,,
203,normal_082,,
204,test_082,,
205,normal_084,,
206,test_084,,
207,normal_091,,
208,test_090,,
209,normal_095,,
210,test_094,,
211,normal_098,,
212,test_097,,
213,normal_100,,
214,test_099,,
215,normal_103,,
216,test_102,,
217,normal_105,,
218,test_104,,
